Date,NeuralNetwork
2018-11-08,-0.10256255996866792
2018-11-09,-0.11358037462146264
2018-11-12,-0.1094908720912221
2018-11-13,-0.11601119285714934
2018-11-14,-0.11353876147843067
2018-11-15,-0.11014150392153543
2018-11-16,-0.11221585356262909
2018-11-19,-0.11257871008642317
2018-11-20,-0.12256361705443652
2018-11-21,-0.1198211804827094
2018-11-22,-0.12566023966971906
2018-11-23,-0.12848687358562694
2018-11-26,-0.11339906647607223
2018-11-27,-0.10358171214989442
2018-11-28,-0.08070530045579516
2018-11-29,-0.0877813468859151
2018-11-30,-0.08622387480807414
2018-12-03,-0.06496805945786832
2018-12-04,-0.06894802749141382
2018-12-05,-0.082052826750183
2018-12-06,-0.10110706389544977
2018-12-07,-0.09639502012133216
2018-12-10,-0.10483688231463606
2018-12-11,-0.10524296055019988
2018-12-12,-0.09656877788188489
2018-12-13,-0.08860159966940928
2018-12-14,-0.09289274095113542
2018-12-17,-0.09260626993603138
2018-12-18,-0.0991389852994562
2018-12-19,-0.09137416321454483
2018-12-20,-0.09844860200363015
2018-12-21,-0.10160813166565663
2018-12-24,-0.10411961318392915
2018-12-25,-0.11440367233629123
2018-12-26,-0.11456896706575681
2018-12-27,-0.10200000126344577
2018-12-28,-0.09353260911515793
2019-01-02,-0.10589435715146867
2019-01-03,-0.10988200239665114
2019-01-04,-0.11483449214661334
2019-01-07,-0.09787192088157537
2019-01-08,-0.09752534878366403
2019-01-09,-0.08520172049458452
2019-01-10,-0.08994264353052372
2019-01-11,-0.09220650725821378
2019-01-14,-0.09984974779058864
2019-01-15,-0.09255237105156433
2019-01-16,-0.09588410148115523
2019-01-17,-0.09605253601668207
2019-01-18,-0.09286351859821651
2019-01-21,-0.0892350836529262
2019-01-22,-0.08913179946926819
2019-01-23,-0.09579535910192138
2019-01-24,-0.09293323987542368
2019-01-25,-0.08861287528716133
2019-01-28,-0.08658075070972615
2019-01-29,-0.08570908518863152
2019-01-30,-0.08651197989701853
2019-02-11,-0.08748678824654943
2019-02-12,-0.07887810517686322
2019-02-13,-0.07895387683653787
2019-02-14,-0.07934894523860248
2019-02-15,-0.07849743324755076
2019-02-18,-0.07465964073524434
2019-02-19,-0.07487358108552244
2019-02-20,-0.06659782679984583
2019-02-21,-0.06019819872949994
2019-02-22,-0.05886288982939514
2019-02-25,-0.05027840495066982
2019-02-26,-0.0480969857360245
2019-02-27,-0.05030457663618493
2019-03-04,-0.051020362717300705
2019-03-05,-0.054920490813330614
2019-03-06,-0.05377066947210496
2019-03-07,-0.056263503481230104
2019-03-08,-0.06200552093913625
2019-03-11,-0.06432270875478185
2019-03-12,-0.05866045662406105
2019-03-13,-0.05741966620559924
2019-03-14,-0.05922872265880996
2019-03-15,-0.057173868210509404
2019-03-18,-0.05084623533468202
2019-03-19,-0.04846305476169532
2019-03-20,-0.04633569140245852
2019-03-21,-0.043522642672683354
2019-03-22,-0.04274201595969929
2019-03-25,-0.056609147507597934
2019-03-26,-0.05148003553474456
2019-03-27,-0.05594545476642543
2019-03-28,-0.05756927111183063
2019-03-29,-0.04918277859620268
2019-04-01,-0.046126361521348413
2019-04-02,-0.04289456271911207
2019-04-03,-0.03993385087071222
2019-04-08,-0.03456619278952344
2019-04-09,-0.03259077978497016
2019-04-10,-0.03216840191912851
2019-04-11,-0.03137908221673125
2019-04-12,-0.029066187914975283
2019-04-15,-0.022185893169527793
2019-04-16,-0.020541262185040043
2019-04-17,-0.01687781919835385
2019-04-18,-0.022409091127570613
2019-04-19,-0.022208118639552854
2019-04-22,-0.020175383402187497
