Date,XGBoost
2012-07-04,-0.14010146894177566
2012-07-05,-0.14053986705293187
2012-07-06,-0.14011071254624408
2012-07-09,-0.14346977341166434
2012-07-10,-0.1470975839858627
2012-07-11,-0.1432496982345317
2012-07-12,-0.15910149372678362
2012-07-13,-0.16032744274943977
2012-07-16,-0.1581581888779241
2012-07-17,-0.14597132951582903
2012-07-18,-0.16080731852572927
2012-07-19,-0.1457453751410731
2012-07-20,-0.13856920369555015
2012-07-23,-0.15359509620464162
2012-07-24,-0.15583129779194838
2012-07-25,-0.15897642375674614
2012-07-26,-0.16091498452701591
2012-07-27,-0.1375348943433552
2012-07-30,-0.13219993198770374
2012-07-31,-0.11873599008917013
2012-08-01,-0.11404709025247073
2012-08-02,-0.11404709025247073
2012-08-03,-0.11988000992734349
2012-08-06,-0.10616615857818223
2012-08-07,-0.09976394223471774
2012-08-08,-0.093765372973447
2012-08-09,-0.07933769940061686
2012-08-10,-0.08358495705259994
2012-08-13,-0.08649292620298055
2012-08-14,-0.08298682719589778
2012-08-15,-0.0865116232853762
2012-08-16,-0.0849466016138627
2012-08-17,-0.08882834664108175
2012-08-20,-0.09207476235932444
2012-08-21,-0.07934177660464392
2012-08-22,-0.07962744007887179
2012-08-23,-0.07453820266566447
2012-08-24,-0.0790718039844488
2012-08-27,-0.0835574908887523
2012-08-28,-0.0957797859081726
2012-08-29,-0.09420131879725291
2012-08-30,-0.09819952811585608
2012-08-31,-0.09511314260141834
2012-09-03,-0.08975900104870405
2012-09-04,-0.09127593647882914
2012-09-05,-0.10620480927190878
2012-09-06,-0.10903454914369726
2012-09-07,-0.09373893081485951
2012-09-10,-0.08088855521638605
2012-09-11,-0.08317160610510788
2012-09-12,-0.07668165258785165
2012-09-13,-0.07889483232477823
2012-09-14,-0.06263613530936485
2012-09-17,-0.05678662564628001
2012-09-18,-0.06185831473880432
2012-09-19,-0.0491426711559676
2012-09-20,-0.05433353984734812
2012-09-21,-0.05012672018354458
2012-09-24,-0.046656942998544615
2012-09-25,-0.05139989590068017
2012-09-26,-0.060448543917584696
2012-09-27,-0.058981060384217354
2012-09-28,-0.05495263998139166
2012-10-01,-0.0643626470571026
2012-10-02,-0.05710342712969951
2012-10-03,-0.06396769482503761
2012-10-04,-0.06151655903991038
2012-10-05,-0.059082033979679704
2012-10-08,-0.06256859396459735
2012-10-09,-0.06014079902399805
2012-10-11,-0.07793460256278884
2012-10-12,-0.08195790592622654
2012-10-15,-0.08283241734495916
2012-10-16,-0.07681571582540969
2012-10-17,-0.07662790362252203
2012-10-18,-0.07649508125732529
2012-10-19,-0.08228111784859049
2012-10-22,-0.08925691738746344
2012-10-23,-0.09529481557458563
2012-10-24,-0.09245408163737212
2012-10-25,-0.09690232228834084
2012-10-26,-0.11675556232833939
2012-10-29,-0.11214356354650867
2012-10-30,-0.10057672316226618
2012-10-31,-0.10296155158748888
2012-11-01,-0.09951544541911195
2012-11-02,-0.09289716722202679
2012-11-05,-0.09356810460480947
2012-11-06,-0.09065575466765452
2012-11-07,-0.09075558067414291
2012-11-08,-0.0961964382310414
2012-11-09,-0.09235785173152355
2012-11-12,-0.09581613888186824
2012-11-13,-0.11210808285920626
2012-11-14,-0.11539811642130604
2012-11-15,-0.1203684747721423
2012-11-16,-0.121860906268078
2012-11-19,-0.11724703743663778
2012-11-20,-0.11682828542280943
2012-11-21,-0.1272033180237584
2012-11-22,-0.12618221743539693
2012-11-23,-0.09526688162047947
2012-11-26,-0.07972627321226211
2012-11-27,-0.08006585415329115
2012-11-28,-0.08375330037556938
2012-11-29,-0.07265851492073128
2012-11-30,-0.05797417432180463
2012-12-03,-0.057022000447256804
2012-12-04,-0.05717644994498894
2012-12-05,-0.04891531445820607
2012-12-06,-0.050334241558152026
2012-12-07,-0.04784700967378863
2012-12-10,-0.05578075534672766
2012-12-11,-0.05489265126754228
2012-12-12,-0.043013887423200226
2012-12-13,-0.03244629397502752
2012-12-14,-0.04273978568117964
2012-12-17,-0.05186087667468586
2012-12-18,-0.05117026456777085
2012-12-19,-0.05022943392665258
2012-12-20,-0.06259750613100135
2012-12-21,-0.07045004468187788
2012-12-24,-0.06897856583384132
2012-12-25,-0.05664330756626079
2012-12-26,-0.05847135661504732
2012-12-27,-0.05725992637184896
2012-12-28,-0.050536770430985145
2013-01-02,-0.03702763739613013
2013-01-03,-0.028194065125494272
2013-01-04,-0.03595090184716632
2013-01-07,-0.037365383965513144
2013-01-08,-0.04169010848460997
2013-01-09,-0.03819774082855243
2013-01-10,-0.016852236961725664
2013-01-11,-0.016597296601604583
2013-01-14,-0.017375127824124537
2013-01-15,-0.03238314399789466
2013-01-16,-0.037986873399940224
2013-01-17,-0.05446686670099954
2013-01-18,-0.03389738290078348
2013-01-21,-0.030970303355691398
2013-01-22,-0.030172242301334862
2013-01-23,-0.03772431136343579
2013-01-24,-0.043562201110986964
2013-01-25,-0.047594609915776354
2013-01-28,-0.032001417895799245
2013-01-29,-0.024598366385196524
2013-01-30,-0.019042686427025557
2013-01-31,-0.02212546852633479
2013-02-01,-0.020206573692982177
2013-02-04,-0.005891638759586759
2013-02-05,-0.010202970626436714
2013-02-06,-0.008191704028577051
2013-02-18,-0.004632107899385951
2013-02-19,-0.0012640547111886224
2013-02-20,0.0
2013-02-21,-0.011909767869556886
2013-02-22,-0.007906663552557536
2013-02-25,-0.010509329527658373
2013-02-26,-0.020432001672782918
